,City,Temp_Farenheit,Humidity,Cloudiness,Windspeed,Latitude,Longitude
1,Marsh Harbour,74.81,100.00%,20.00%,1.90,26.54,-77.06
2,Norman Wells,35.60,93.00%,90.00%,13.87,65.28,-126.83
3,Nyangao,73.91,90.00%,32.00%,2.13,-10.33,39.28
4,Torbay,40.60,93.00%,90.00%,10.29,47.66,-52.73
5,Caucaia,79.93,94.00%,40.00%,9.17,-3.73,-38.66
6,Qaanaaq,-1.70,78.00%,32.00%,4.36,77.48,-69.36
7,Ginda,43.76,57.00%,20.00%,2.57,30.69,78.49
8,Istanbul,46.74,70.00%,0.00%,11.41,41.01,28.95
9,Ushuaia,51.03,81.00%,75.00%,17.22,-54.81,-68.31
10,Nanortalik,27.20,100.00%,20.00%,26.17,60.14,-45.24
11,Alice Springs,48.20,45.00%,0.00%,5.59,-23.7,133.88
12,Airai,63.20,85.00%,0.00%,0.56,-8.93,125.41
13,Lolua,69.50,93.00%,88.00%,5.37,-33.59,26.89
14,Port Alfred,78.26,25.00%,1.00%,6.93,34.42,-119.7
15,Santa Barbara,81.56,17.00%,0.00%,10.74,13.98,10.27
16,Goure,55.20,62.00%,75.00%,18.34,-53.16,-70.91
17,Punta Arenas,57.20,93.00%,90.00%,6.93,-42.48,-73.76
18,Olafsvik,49.87,79.00%,0.00%,1.99,-35.71,150.18
19,Castro,59.06,58.00%,0.00%,4.47,20.52,-13.05
20,Batemans Bay,55.20,62.00%,75.00%,18.34,-53.16,-70.91
21,Atar,84.35,99.00%,56.00%,8.39,-1.57,9.26
22,Punta Arenas,75.35,28.00%,0.00%,11.63,-46.43,-67.52
23,Omboue,66.36,34.00%,1.00%,5.82,45.52,-122.67
24,Mar Del Plata,58.97,100.00%,64.00%,24.94,38.52,-28.7
25,Portland,83.36,98.00%,0.00%,15.77,2.04,45.34
26,Ribeira Grande,40.60,93.00%,90.00%,10.29,47.66,-52.73
27,Mogadishu,57.65,99.00%,100.00%,1.99,-34.42,19.24
28,Torbay,82.55,99.00%,92.00%,10.40,-2.02,147.27
29,Hermanus,95.00,50.00%,40.00%,2.68,6.19,-67.49
30,Lorengau,33.80,80.00%,90.00%,13.42,53.14,59.15
31,Puerto Carreno,24.80,68.00%,75.00%,13.87,49.78,-74.86
32,Svetlogorsk,54.00,71.00%,24.00%,8.01,-46.13,167.69
33,Chapais,30.53,88.00%,68.00%,5.37,65.85,44.24
34,Tuatapere,60.67,82.00%,75.00%,4.70,-33.93,18.42
35,Mezen,38.46,71.00%,0.00%,6.93,53.96,-1.08
36,Cape Town,54.00,71.00%,20.00%,8.01,-46.19,168.86
37,York,12.17,76.00%,0.00%,4.92,53.98,124.16
38,Mataura,70.39,44.00%,44.00%,15.21,-33.64,115.35
39,Never,70.39,44.00%,44.00%,15.21,-33.64,115.35
40,Busselton,62.60,48.00%,75.00%,27.51,-45.58,-72.07
41,Busselton,51.05,46.00%,0.00%,6.93,28.42,30.79
42,Coihaique,77.33,53.00%,0.00%,2.91,-20.63,-46
43,Attawapiskat,54.00,71.00%,24.00%,8.01,-46.13,167.69
44,Matay,83.21,45.00%,40.00%,11.41,22.72,-82.29
45,Amderma,6.80,60.00%,40.00%,4.70,78.22,15.63
46,Ponta Do Sol,70.39,44.00%,44.00%,15.21,-33.64,115.35
47,Tuatapere,48.20,39.00%,75.00%,4.70,58.81,-122.69
48,Bengkulu,54.00,71.00%,20.00%,8.01,-46.19,168.86
49,Batabano,73.73,100.00%,76.00%,5.70,-33.02,27.91
50,Longyearbyen,54.21,47.00%,0.00%,2.24,45.6,-0.6
51,Busselton,57.65,99.00%,100.00%,1.99,-34.42,19.24
52,Fort Nelson,38.53,48.00%,20.00%,3.00,50.56,-96.99
53,Mataura,25.49,79.00%,56.00%,2.35,52.96,103.29
54,East London,54.21,47.00%,0.00%,2.24,45.6,-0.6
55,Souillac,63.20,85.00%,0.00%,0.56,-8.93,125.41
56,Hermanus,34.52,34.00%,75.00%,12.75,50.1,-91.92
57,Husavik,83.18,100.00%,0.00%,4.92,-0.6,73.08
58,Mikhaylovka,25.04,80.00%,20.00%,2.57,42.79,75.7
