,City,Temp_Farenheit,Humidity,Cloudiness,Windspeed,Latitude,Longitude
1,Pevek,8.45,81.00%,0.00%,2.73,69.7,170.27
2,Mataura,55.00,68.00%,24.00%,8.01,-46.19,168.86
3,Portland,67.41,32.00%,75.00%,6.93,45.52,-122.67
4,Hovd,30.81,86.00%,75.00%,21.92,63.83,10.7
5,Karpogory,20.15,85.00%,0.00%,2.62,64,44.44
6,Namibe,77.93,100.00%,0.00%,6.98,-15.19,12.15
7,Katsuura,44.58,61.00%,40.00%,16.11,33.93,134.5
8,Cidreira,69.83,95.00%,32.00%,1.39,-30.17,-50.22
9,Punta Arenas,55.18,62.00%,75.00%,17.22,-53.16,-70.91
10,Kapaa,78.96,88.00%,40.00%,11.41,22.08,-159.32
11,Ushuaia,50.81,71.00%,75.00%,9.17,-54.81,-68.31
12,Rikitea,76.76,100.00%,24.00%,18.50,-23.12,-134.97
13,Rio Grande,73.40,88.00%,20.00%,5.82,-32.03,-52.1
14,Havoysund,27.63,86.00%,90.00%,42.50,71,24.66
15,New Norfolk,53.02,66.00%,75.00%,10.29,-42.78,147.06
16,Burnie,49.42,46.00%,0.00%,3.00,-41.05,145.91
17,Puerto Ayora,84.07,66.00%,20.00%,13.87,-0.74,-90.35
18,Hermanus,59.00,88.00%,88.00%,5.01,-34.42,19.24
19,Muzhi,23.57,81.00%,64.00%,12.24,65.4,64.7
20,Corralillo,78.92,66.00%,8.00%,9.66,22.98,-80.59
21,Atambua,80.45,100.00%,0.00%,2.17,-9.11,124.89
22,Wuhu,41.00,93.00%,0.00%,5.86,31.35,118.43
23,Pacific Grove,71.24,63.00%,1.00%,12.75,36.62,-121.92
24,Manyana,60.87,100.00%,90.00%,11.41,-35.26,150.51
25,Atuona,81.38,100.00%,92.00%,10.96,-9.8,-139.03
26,San Cristobal,61.92,77.00%,75.00%,9.17,-0.39,-78.55
27,Jambi,72.26,96.00%,88.00%,7.20,-1.6,103.62
28,Cape Town,60.15,87.00%,40.00%,3.36,-33.93,18.42
29,Yellowknife,35.55,69.00%,90.00%,20.80,62.45,-114.38
30,Mahibadhoo,83.51,100.00%,0.00%,2.39,3.78,72.97
31,Busselton,68.70,47.00%,80.00%,12.01,-33.64,115.35
32,Cidreira,69.83,95.00%,32.00%,1.39,-30.17,-50.22
33,Ushuaia,50.81,71.00%,75.00%,9.17,-54.81,-68.31
34,Port Hardy,48.20,76.00%,20.00%,5.82,50.7,-127.42
35,Vaini,65.33,90.00%,0.00%,1.05,15.34,74.49
36,Vila Velha,82.00,85.00%,68.00%,8.99,-3.71,-38.6
37,Karaul,28.34,96.00%,88.00%,22.30,73.51,80.55
38,Karkaralinsk,63.00,49.00%,0.00%,15.99,-46.28,169.85
39,Dikson,81.80,100.00%,32.00%,10.78,-9.8,-139.03
40,Belushya Guba,55.00,68.00%,24.00%,8.01,-46.19,168.86
41,Kaitangata,73.97,100.00%,0.00%,3.96,26.54,-77.06
42,Atuona,63.00,49.00%,0.00%,15.99,-46.28,169.85
43,Mataura,81.53,100.00%,36.00%,13.24,3.07,172.79
44,Marsh Harbour,48.20,31.00%,20.00%,11.41,58.81,-122.69
45,Kaitangata,84.23,99.00%,92.00%,8.32,-1.57,9.26
46,Butaritari,76.76,100.00%,24.00%,18.50,-23.12,-134.97
47,Fort Nelson,82.97,100.00%,0.00%,5.41,-0.6,73.08
48,Omboue,46.96,84.00%,88.00%,7.87,52.15,-6.99
49,Rikitea,82.97,100.00%,0.00%,5.41,-0.6,73.08
50,Hithadhoo,78.80,51.00%,20.00%,12.75,20.89,-156.47
51,Dunmore East,81.80,100.00%,32.00%,10.78,-9.8,-139.03
52,Hithadhoo,83.26,41.00%,5.00%,2.24,22.89,-109.91
53,Kahului,42.80,38.00%,1.00%,3.36,41.53,-109.47
54,Atuona,30.20,68.00%,0.00%,2.24,34.9,108.95
55,Cabo San Lucas,62.60,55.00%,75.00%,4.70,8.96,38.73
56,Miranorte,70.01,50.00%,0.00%,9.10,-23.58,149.07
57,Lolua,50.97,61.00%,0.00%,2.28,44.83,-0.61
58,Green River,8.45,78.00%,76.00%,8.55,66.15,-65.72
59,Tongchuan,32.94,82.00%,90.00%,8.95,59.7,30.79
60,Taolanaro,28.79,95.00%,92.00%,9.22,71.98,102.47
61,Lebu,57.20,87.00%,90.00%,6.93,-42.48,-73.76
62,Bluff,57.32,86.00%,44.00%,2.62,-22.4,46.13
63,Saint-Augustin,80.45,100.00%,92.00%,16.49,6.3,120.58
64,Pangnirtung,19.43,69.00%,20.00%,2.95,60.71,114.91
65,Nikolskoye,83.87,100.00%,0.00%,5.41,-16.48,-151.75
66,Khatanga,70.01,50.00%,0.00%,9.10,-23.58,149.07
67,Castro,83.60,96.00%,48.00%,10.22,-2.02,147.27
68,Illoqqortoormiut,84.20,35.00%,40.00%,4.70,-33.01,-68.8
69,Ihosy,82.40,78.00%,20.00%,4.70,12.34,-83.67
70,Simbahan,50.50,61.00%,0.00%,6.93,48.52,3.72
71,Lensk,83.60,96.00%,48.00%,10.22,-2.02,147.27
72,Faanui,47.42,78.00%,0.00%,4.41,41.42,-6.55
73,Bluff,66.59,93.00%,24.00%,6.87,-33.69,-53.46
74,Lorengau,32.94,82.00%,90.00%,8.95,59.7,30.79
75,Russell,57.20,87.00%,90.00%,6.93,-42.48,-73.76
76,Laguna De Perlas,39.86,80.00%,0.00%,7.65,48.92,40.39
77,Romilly-Sur-Seine,19.16,95.00%,88.00%,14.58,53.51,142.97
78,Lorengau,39.88,75.00%,0.00%,9.17,52.47,1.45
79,Saldanha,86.76,19.00%,5.00%,11.41,26.91,-109.62
80,Chuy,56.73,50.00%,40.00%,5.82,27.03,-101.59
81,Nikolskoye,53.02,66.00%,75.00%,10.29,-42.78,147.06
82,Castro,48.20,39.00%,75.00%,8.05,63.59,-135.9
83,Millerovo,52.63,32.00%,1.00%,4.29,37.68,-113.06
84,Ekhabi,50.81,71.00%,75.00%,9.17,-54.81,-68.31
85,Broome,68.70,47.00%,80.00%,12.01,-33.64,115.35
86,Etchojoa,52.39,37.00%,1.00%,20.80,39.31,-74.98
87,Nadadores,53.02,66.00%,75.00%,10.29,-42.78,147.06
88,New Norfolk,81.63,65.00%,20.00%,11.41,10.24,-61.45
89,Mayo,44.58,61.00%,40.00%,16.11,33.93,134.5
90,Cedar City,53.02,66.00%,75.00%,10.29,-42.88,147.33
91,Ushuaia,76.76,100.00%,24.00%,18.50,-23.12,-134.97
92,Busselton,57.20,87.00%,90.00%,6.93,-41.87,-73.83
93,Port Elizabeth,15.20,73.00%,0.00%,1.61,41.17,75.81
94,New Norfolk,77.20,69.00%,90.00%,5.82,19.71,-155.08
95,Esperance,76.76,100.00%,24.00%,18.50,-23.12,-134.97
96,Katsuura,38.32,56.00%,75.00%,26.40,42.65,-73.75
97,Hobart,31.13,93.00%,76.00%,3.18,66.32,-179.17
98,Rikitea,82.97,100.00%,0.00%,5.41,-0.6,73.08
99,Ancud,30.20,92.00%,0.00%,4.47,52.04,76.93
100,At-Bashi,82.60,70.00%,20.00%,16.11,-0.74,-90.35
101,Hilo,68.70,47.00%,80.00%,12.01,-33.64,115.35
102,Rikitea,55.18,62.00%,75.00%,17.22,-53.16,-70.91
103,Albany,76.76,100.00%,24.00%,18.50,-23.12,-134.97
104,Egvekinot,68.70,47.00%,80.00%,12.01,-33.64,115.35
105,Hithadhoo,42.48,93.00%,0.00%,1.12,40.43,29.72
106,Aksu,67.04,39.00%,76.00%,10.67,-46.43,-67.52
107,Puerto Ayora,82.97,100.00%,0.00%,5.41,-0.6,73.08
108,Busselton,81.80,100.00%,32.00%,10.78,-9.8,-139.03
109,Punta Arenas,80.00,86.00%,8.00%,2.17,-8.76,-67.39
110,Rikitea,76.51,83.00%,40.00%,8.05,-19.98,57.61
111,Busselton,67.94,100.00%,88.00%,14.03,-33.59,26.89
112,Iznik,60.80,87.00%,0.00%,10.29,-34.53,20.04
113,Mar Del Plata,55.18,62.00%,75.00%,17.22,-53.16,-70.91
114,Hithadhoo,60.15,87.00%,40.00%,3.36,-33.93,18.42
115,Mys Shmidta,60.80,87.00%,0.00%,10.29,-34.53,20.04
116,Atuona,35.60,93.00%,90.00%,17.22,65.28,-126.83
117,Boca Do Acre,80.72,52.00%,32.00%,7.87,-20.74,116.85
118,Cap Malheureux,65.33,90.00%,36.00%,5.30,-34.48,-54.34
119,Port Alfred,48.99,30.00%,12.00%,5.01,37.17,-99.65
120,Barentsburg,70.01,50.00%,0.00%,9.10,-23.58,149.07
121,Bredasdorp,53.02,66.00%,75.00%,10.29,-42.88,147.33
122,Punta Arenas,32.00,59.00%,75.00%,6.93,54.77,-101.88
123,Cape Town,67.22,74.00%,8.00%,3.74,-20.63,-46
124,Bredasdorp,81.08,100.00%,0.00%,15.03,-17.73,-39.27
125,Norman Wells,50.81,71.00%,75.00%,9.17,-54.81,-68.31
126,Karratha,35.60,93.00%,90.00%,17.22,65.28,-126.83
127,Rocha,30.50,100.00%,64.00%,25.21,70.86,29.09
128,Sitka,-3.53,85.00%,44.00%,4.41,77.48,-69.36
129,Sentyabrskiy,53.02,66.00%,75.00%,10.29,-42.88,147.33
130,Bluff,57.20,87.00%,90.00%,6.93,-41.87,-73.83
131,Hobart,67.04,39.00%,76.00%,10.67,-46.43,-67.52
132,Flin Flon,68.70,47.00%,80.00%,12.01,-33.64,115.35
133,Ponta Do Sol,78.80,94.00%,20.00%,5.86,6.33,-10.8
134,Tumannyy,81.53,100.00%,36.00%,13.24,3.07,172.79
135,Caravelas,70.01,50.00%,0.00%,9.10,-23.58,149.07
136,Ushuaia,76.76,100.00%,24.00%,18.50,-23.12,-134.97
137,Norman Wells,53.02,66.00%,75.00%,10.29,-42.88,147.33
138,Sentyabrskiy,69.83,99.00%,64.00%,6.08,-2.64,31.77
139,Berlevag,57.50,80.00%,20.00%,4.29,-33.21,138.6
140,Qaanaaq,55.00,68.00%,24.00%,8.01,-46.19,168.86
141,Hobart,51.47,85.00%,0.00%,3.29,30.51,117.04
142,Ancud,55.00,68.00%,24.00%,8.01,-46.19,168.86
143,Mar Del Plata,35.55,69.00%,90.00%,20.80,62.45,-114.38
144,Busselton,68.70,47.00%,80.00%,12.01,-33.64,115.35
145,Monrovia,50.81,71.00%,75.00%,9.17,-54.81,-68.31
146,Butaritari,52.91,79.00%,0.00%,5.53,20.52,-13.05
147,Bluff,-3.53,85.00%,44.00%,4.41,77.48,-69.36
148,Rikitea,48.86,80.00%,12.00%,1.95,-13.65,-73.37
149,Hobart,13.31,100.00%,68.00%,1.72,66.94,-53.67
150,Chato,38.32,56.00%,75.00%,26.40,42.65,-73.75
151,Jamestown,78.80,74.00%,20.00%,5.82,17.01,54.1
152,Mataura,55.00,68.00%,24.00%,8.01,-46.19,168.86
153,Anqing,66.59,93.00%,24.00%,6.87,-33.69,-53.46
154,Mataura,44.58,61.00%,40.00%,16.11,33.93,134.5
155,Yellowknife,73.34,98.00%,88.00%,2.95,-13.19,49.05
156,Busselton,80.60,74.00%,76.00%,5.82,4.94,-52.33
157,Ushuaia,61.19,51.00%,56.00%,8.21,31.6,55.4
158,Atar,45.12,16.00%,1.00%,8.05,39.95,-94.76
159,Qaanaaq,60.15,87.00%,40.00%,3.36,-33.93,18.42
160,San Jeronimo,28.70,90.00%,92.00%,14.81,69.49,88.39
161,Sisimiut,18.98,61.00%,0.00%,2.51,46.68,113.28
162,Albany,53.02,66.00%,75.00%,10.29,-42.88,147.33
163,Salalah,81.53,100.00%,36.00%,13.24,3.07,172.79
164,Mataura,50.81,71.00%,75.00%,9.17,-54.81,-68.31
165,Chuy,31.76,91.00%,80.00%,3.62,54.34,101.51
166,Katsuura,76.76,100.00%,24.00%,18.50,-23.12,-134.97
167,Ambilobe,-3.53,85.00%,44.00%,4.41,77.48,-69.36
168,Cayenne,68.70,47.00%,80.00%,12.01,-33.64,115.35
169,Bafq,75.95,100.00%,100.00%,2.39,-8.15,159.59
170,Kodiak,8.45,81.00%,0.00%,2.73,69.7,170.27
171,Tsihombe,27.32,79.00%,90.00%,18.34,70.24,22.35
172,Cape Town,72.53,100.00%,20.00%,5.19,-33.02,27.91
173,Talnakh,55.18,62.00%,75.00%,17.22,-53.16,-70.91
174,Baruun-Urt,55.00,68.00%,24.00%,8.01,-46.19,168.86
175,Hobart,83.87,100.00%,0.00%,5.41,-16.48,-151.75
176,Butaritari,28.40,50.00%,90.00%,10.29,55.74,-97.86
177,Ushuaia,57.20,41.00%,0.00%,6.93,-25.24,130.99
178,Kuytun,50.81,71.00%,75.00%,9.17,-54.81,-68.31
179,Rikitea,10.52,100.00%,56.00%,2.62,72.79,-56.15
180,Qaanaaq,84.14,100.00%,0.00%,2.17,6.62,73.07
181,Busselton,81.80,84.00%,76.00%,2.62,-9.43,159.96
182,Mys Shmidta,84.32,52.00%,68.00%,4.85,21.28,-88.93
183,Buala,68.00,64.00%,75.00%,5.82,26.33,43.97
184,Pevek,57.50,80.00%,20.00%,4.29,-33.21,138.6
185,Oksfjord,50.81,71.00%,75.00%,9.17,-54.81,-68.31
186,East London,65.33,90.00%,0.00%,1.05,15.34,74.49
187,Punta Arenas,82.60,70.00%,20.00%,16.11,-0.74,-90.35
188,Mataura,57.50,80.00%,20.00%,4.29,-33.21,138.6
189,Faanui,64.40,77.00%,0.00%,14.99,20.93,-17.03
190,Thompson,27.08,74.00%,0.00%,6.76,48.59,57.19
191,Yulara,28.97,57.00%,64.00%,2.62,48.81,103.53
192,Ushuaia,69.47,100.00%,0.00%,4.74,-23.86,35.35
193,Upernavik,35.55,69.00%,90.00%,20.80,62.45,-114.38
194,Kulhudhuffushi,37.80,93.00%,90.00%,13.87,50.03,-66.88
195,Honiara,58.50,87.00%,0.00%,5.82,37.14,-8.45
196,Dzilam Gonzalez,43.64,59.00%,0.00%,2.73,30.78,78.62
197,Buraydah,50.00,100.00%,75.00%,4.70,37.08,41.21
198,Jamestown,68.70,47.00%,80.00%,12.01,-33.64,115.35
199,Ushuaia,34.52,69.00%,90.00%,11.41,45.36,-73.48
200,Vaini,35.18,99.00%,36.00%,3.40,42.97,140.51
201,Puerto Ayora,44.63,56.00%,0.00%,3.18,34.78,72.36
202,Jamestown,60.15,87.00%,40.00%,3.36,-33.93,18.42
203,Nouadhibou,35.55,69.00%,90.00%,20.80,62.45,-114.38
204,Shubarshi,83.87,100.00%,0.00%,5.41,-16.48,-151.75
205,Bulgan,-3.53,85.00%,44.00%,4.41,77.48,-69.36
206,Tsihombe,65.33,90.00%,0.00%,1.05,15.34,74.49
207,Maxixe,80.60,65.00%,0.00%,10.29,16.06,-61.77
208,Yellowknife,78.96,88.00%,40.00%,11.41,22.08,-159.32
209,Port-Cartier,3.20,84.00%,90.00%,11.41,70.47,-68.59
210,Lagoa,35.63,94.00%,76.00%,8.21,57.69,93.28
211,Lata,17.18,74.00%,0.00%,3.18,65.73,150.89
212,Nusaybin,53.02,66.00%,75.00%,10.29,-42.78,147.06
213,Busselton,65.33,90.00%,0.00%,1.05,15.34,74.49
214,Warqla,60.80,87.00%,0.00%,10.29,-34.53,20.04
215,Mys Shmidta,38.32,56.00%,75.00%,26.40,42.65,-73.75
216,Saint-Philippe,84.50,100.00%,8.00%,4.85,-16.7,-151.02
217,Iwanai,38.32,56.00%,75.00%,26.40,42.65,-73.75
218,Mingaora,35.55,69.00%,90.00%,20.80,62.45,-114.38
219,Cape Town,72.89,68.00%,0.00%,3.06,8,124.29
220,Yellowknife,18.98,61.00%,0.00%,2.51,46.68,113.28
221,Faanui,55.18,62.00%,75.00%,17.22,-53.16,-70.91
222,Qaanaaq,55.18,62.00%,75.00%,17.22,-53.16,-70.91
223,Vaini,38.89,80.00%,20.00%,5.82,51.17,13.51
224,Vieux-Habitants,53.02,66.00%,75.00%,10.29,-42.88,147.33
225,Kapaa,79.01,94.00%,92.00%,4.41,-2.92,-39.92
226,Clyde River,69.83,95.00%,32.00%,1.39,-30.17,-50.22
227,Kazachinskoye,82.60,70.00%,20.00%,16.11,-0.74,-90.35
228,Zyryanka,57.20,87.00%,90.00%,6.93,-42.48,-73.76
229,New Norfolk,48.92,45.00%,1.00%,3.36,64.86,-147.8
230,Vaini,78.96,88.00%,40.00%,11.41,22.08,-159.32
231,Bredasdorp,28.40,50.00%,90.00%,10.29,55.74,-97.86
232,Albany,68.00,64.00%,75.00%,5.82,26.33,43.97
233,Fare,28.79,95.00%,92.00%,9.22,71.98,102.47
234,Milingimbi,6.80,60.00%,40.00%,4.70,78.22,15.63
235,Albany,76.76,100.00%,24.00%,18.50,-23.12,-134.97
236,Yellowknife,76.76,100.00%,24.00%,18.50,-23.12,-134.97
237,Marawi,62.60,72.00%,0.00%,8.05,-39.81,-73.25
238,Baruun-Urt,55.40,93.00%,75.00%,2.24,30.42,103.46
239,Amderma,55.40,71.00%,24.00%,8.05,-31.97,141.45
240,Attawapiskat,70.01,50.00%,0.00%,9.10,-23.58,149.07
241,Punta Arenas,55.18,62.00%,75.00%,17.22,-53.16,-70.91
242,Punta Arenas,32.94,82.00%,90.00%,8.95,59.7,30.79
243,Nassau,53.02,66.00%,75.00%,10.29,-42.78,147.06
244,Hobart,80.60,88.00%,40.00%,6.93,10.54,106.4
245,Itarema,81.80,100.00%,32.00%,10.78,-9.8,-139.03
246,Cidreira,67.41,32.00%,75.00%,6.93,45.52,-122.67
247,Puerto Ayora,82.40,65.00%,5.00%,12.75,16.86,-99.88
248,Castro,68.03,55.00%,0.00%,5.41,22.64,76.35
249,College,83.96,100.00%,0.00%,11.45,10.57,72.64
250,Kapaa,28.79,95.00%,92.00%,9.22,71.98,102.47
251,Thompson,81.08,100.00%,0.00%,15.03,-17.73,-39.27
252,Buraydah,59.00,88.00%,88.00%,5.01,-34.42,19.24
253,Khatanga,24.80,73.00%,20.00%,2.24,53.05,158.65
254,Longyearbyen,55.18,62.00%,75.00%,17.22,-53.16,-70.91
255,Rikitea,33.69,74.00%,0.00%,6.93,60.45,22.03
256,Rikitea,55.00,68.00%,24.00%,8.01,-46.19,168.86
257,Valdivia,20.69,85.00%,48.00%,7.20,66.77,123.37
258,Linqiong,55.00,68.00%,44.00%,8.01,-46.13,167.69
259,Broken Hill,65.33,90.00%,0.00%,1.05,15.34,74.49
260,Bluff,67.04,39.00%,76.00%,10.67,-46.43,-67.52
261,Punta Arenas,55.13,82.00%,20.00%,14.99,37.73,-25.67
262,Nikolskoye,25.19,85.00%,48.00%,9.44,65.8,87.96
263,Belushya Guba,79.29,74.00%,20.00%,6.93,14.29,120.72
264,New Norfolk,55.18,62.00%,75.00%,17.22,-53.16,-70.91
265,Tan An,31.96,70.00%,0.00%,13.87,57.91,26.05
266,Atuona,28.70,90.00%,92.00%,14.81,69.49,88.39
267,Portland,72.89,68.00%,0.00%,3.06,8,124.29
268,Acapulco,50.81,71.00%,75.00%,9.17,-54.81,-68.31
269,Warqla,60.15,87.00%,40.00%,3.36,-33.93,18.42
270,Bagli,62.09,100.00%,32.00%,2.17,-34.72,135.86
271,Kavaratti,77.00,65.00%,0.00%,3.36,-22.97,-42.02
272,Khatanga,60.15,87.00%,40.00%,3.36,-33.93,18.42
273,Caravelas,48.86,80.00%,12.00%,1.95,-13.74,-72.9
274,Hermanus,83.87,100.00%,0.00%,2.06,5.67,73
275,Petropavlovsk-Kamchatskiy,71.18,47.00%,8.00%,3.85,12.18,6.51
276,Punta Arenas,50.81,71.00%,75.00%,9.17,-54.81,-68.31
277,Halalo,68.70,47.00%,80.00%,12.01,-33.64,115.35
278,Naantali,53.02,50.00%,1.00%,9.17,32.58,-88.19
279,Mataura,23.03,76.00%,8.00%,6.98,71.64,128.87
280,Taolanaro,81.45,54.00%,20.00%,6.93,15.25,-61.38
281,Zhigansk,53.02,66.00%,75.00%,10.29,-43.03,147.26
282,Tuatapere,67.94,86.00%,12.00%,2.73,15.24,77.06
283,Vaini,76.76,100.00%,24.00%,18.50,-23.12,-134.97
284,Mar Del Plata,38.32,56.00%,75.00%,26.40,42.65,-73.75
285,Ponta Delgada,62.60,55.00%,75.00%,4.70,8.96,38.73
286,Turukhansk,13.31,83.00%,12.00%,3.85,69.3,139.9
287,Ternate,59.00,88.00%,88.00%,5.01,-34.42,19.24
288,Punta Arenas,82.97,100.00%,0.00%,5.41,-0.6,73.08
289,Soe,67.04,39.00%,76.00%,10.67,-46.43,-67.52
290,Mentok,80.27,86.00%,12.00%,2.17,-10.34,-67.19
291,Talnakh,42.53,85.00%,76.00%,8.32,53.8,-9.52
292,Marawi,52.39,37.00%,1.00%,20.80,39.31,-74.98
293,Ushuaia,72.53,100.00%,20.00%,5.19,-33.02,27.91
294,Cape Town,82.40,78.00%,40.00%,3.36,-19.55,169.27
295,Port Lincoln,77.00,94.00%,12.00%,9.17,-21.21,-159.78
296,Arraial Do Cabo,78.33,69.00%,20.00%,8.05,21.35,-158.09
297,Cape Town,32.39,98.00%,92.00%,2.73,38.55,44.95
298,Matara,82.40,45.00%,0.00%,6.93,-20.8,-49.22
299,Ugoofaaru,37.80,93.00%,90.00%,13.87,50.03,-66.88
300,Auki,23.03,76.00%,8.00%,6.98,71.64,128.87
301,Aflu,72.08,78.00%,0.00%,2.17,14.5,79.99
302,Ushuaia,52.54,47.00%,0.00%,5.82,45.6,-0.6
303,Busselton,32.94,82.00%,90.00%,8.95,59.77,30.8
304,Samusu,57.59,84.00%,0.00%,2.73,-12.18,26.4
305,Livingston,67.94,100.00%,88.00%,14.03,-33.59,26.89
